"scenario","rep","parameter","truth","post_mean","bias","rmse_component","q025","q975","cover"
"S2","rep11","r_mean",15,16.4284684355267,1.42846843552672,2.04052207129616,14.7062238270174,18.2447693511962,1
"S2","rep11","phi_vector",NA,NA,1.33380960597328e-16,0.000325581519519254,NA,NA,1
"S2","rep11","log_lambda_vector",NA,NA,3.49874450399233e-17,0.00147291539923615,NA,NA,0.99
"S2","rep11","log_kappa_vector",NA,NA,0.0110544455316888,0.00977554176081683,NA,NA,0.96
"S2","rep12","beta0",-1.54000554509491,-1.53127490060454,0.00873064449036409,7.62241532171249e-05,-1.54896850278154,-1.51381208785011,1
"S2","rep12","beta1",0.5,0.492244001212835,-0.0077559987871651,6.01555171865065e-05,0.47196832610134,0.511586251871344,1
"S2","rep12","beta2",-0.4,-0.408218853616115,-0.00821885361611463,6.75495547631205e-05,-0.427010011573374,-0.389155480171916,1
"S2","rep12","r_mean",15,15.4455923355908,0.445592335590842,0.198552529537301,13.8775183973419,17.0958865073676,1
"S2","rep12","phi_vector",NA,NA,2.52691386333955e-16,0.000384638884286215,NA,NA,1
"S2","rep12","log_lambda_vector",NA,NA,-4.01530660572765e-17,0.00203724021043042,NA,NA,0.933333333333333
"S2","rep12","log_kappa_vector",NA,NA,-0.0142366770927434,0.00839956853770497,NA,NA,0.952222222222222
"S2","rep13","beta0",-1.45678056652174,-1.45306336028288,0.00371720623886329,1.38176222222442e-05,-1.47096490287482,-1.43528639742271,1
"S2","rep13","beta1",0.5,0.510351055003326,0.0103510550033257,0.000107144339681873,0.489510706719505,0.531148829825508,1
"S2","rep13","beta2",-0.4,-0.38553390323265,0.0144660967673501,0.000209267955682337,-0.405404930769622,-0.365778202728543,1
"S2","rep13","r_mean",15,15.4841860698841,0.484186069884064,0.234436150269776,13.9147504271138,17.2180208547745,1
"S2","rep13","phi_vector",NA,NA,-6.74614685102092e-17,0.000247630001626614,NA,NA,1
"S2","rep13","log_lambda_vector",NA,NA,4.09703135615145e-17,0.0024200075060305,NA,NA,0.944444444444444
"S2","rep13","log_kappa_vector",NA,NA,-0.00188635785550344,0.0111274997186102,NA,NA,0.95
"S2","rep14","beta0",-1.59786012831472,-1.59388458910474,0.00397553920997917,1.58049120100818e-05,-1.6116808835575,-1.57584671123676,1
"S2","rep14","beta1",0.5,0.508986719280721,0.00898671928072081,8.07611234304792e-05,0.490521585323076,0.527985071486753,1
"S2","rep14","beta2",-0.4,-0.402059446548837,-0.00205944654883666,4.24132008751524e-06,-0.419864744874172,-0.384732560780554,1
"S2","rep14","r_mean",15,16.6607269040975,1.66072690409754,2.75801384999341,14.9153446690502,18.4985398706027,1
"S2","rep14","phi_vector",NA,NA,2.23586581348122e-17,0.000525628194587362,NA,NA,1
"S2","rep14","log_lambda_vector",NA,NA,4.93817949494731e-17,0.00143642459444006,NA,NA,0.978888888888889
"S2","rep14","log_kappa_vector",NA,NA,-0.00513574484358643,0.00926492040037733,NA,NA,0.961111111111111
"S2","rep15","beta0",-1.47860563894211,-1.47133633906998,0.00726929987212555,5.28427206308845e-05,-1.48956171687414,-1.45337033193987,1
"S2","rep15","beta1",0.5,0.508266579359492,0.00826657935949215,6.83363343067817e-05,0.490083761551919,0.526812427072692,1
"S2","rep15","beta2",-0.4,-0.403053223705611,-0.00305322370561117,9.32217499650603e-06,-0.421824538630497,-0.383845598000967,1
"S2","rep15","r_mean",15,16.3413400726496,1.34134007264959,1.79919319049561,14.6082091561804,18.214343934504,1
"S2","rep15","phi_vector",NA,NA,2.35922392732846e-16,0.000543342320314184,NA,NA,1
"S2","rep15","log_lambda_vector",NA,NA,-2.92975520387194e-18,0.00225195270098924,NA,NA,0.916666666666667
"S2","rep15","log_kappa_vector",NA,NA,-0.009706030737313,0.00979073566488293,NA,NA,0.941111111111111
"S2","rep16","beta0",-1.42601383331857,-1.41468282695795,0.0113310063606218,0.000128391705144451,-1.4321658167027,-1.39673190754181,1
"S2","rep16","beta1",0.5,0.511329865824792,0.0113298658247922,0.000128365859607795,0.492004607958397,0.530922202345746,1
"S2","rep16","beta2",-0.4,-0.393928802266583,0.00607119773341724,3.68594419182507e-05,-0.411757175232282,-0.375320025357757,1
"S2","rep16","r_mean",15,16.2413749740413,1.24137497404128,1.54101182617599,14.4818667975845,18.1094415248777,1
"S2","rep16","phi_vector",NA,NA,-5.55111512312578e-17,0.0015946508444783,NA,NA,0.666666666666667
"S2","rep16","log_lambda_vector",NA,NA,2.43015484279062e-17,0.00227770412218838,NA,NA,0.953333333333333
"S2","rep16","log_kappa_vector",NA,NA,-0.00978635094564382,0.0113369937676333,NA,NA,0.94
"S2","rep17","beta0",-1.73274692242974,-1.74286383996204,-0.010116917532295,0.000102352020355259,-1.76079601222594,-1.72516811362127,1
"S2","rep17","beta1",0.5,0.510345487309467,0.0103454873094667,0.000107029107670337,0.491158359276405,0.529864600492595,1
"S2","rep17","beta2",-0.4,-0.397591339401121,0.00240866059887934,5.80164588059379e-06,-0.417018059234757,-0.377892740744909,1
"S2","rep17","r_mean",15,14.7305063588034,-0.269493641196645,0.072626822645426,13.204927169576,16.3520681898877,1
"S2","rep17","phi_vector",NA,NA,7.32438800967985e-17,0.000482072637959061,NA,NA,1
"S2","rep17","log_lambda_vector",NA,NA,1.8052688973332e-17,0.00307812649041821,NA,NA,0.89
"S2","rep17","log_kappa_vector",NA,NA,0.00840801760506558,0.010033597725768,NA,NA,0.96
"S2","rep18","beta0",-1.46984395968342,-1.48657483936418,-0.0167308796807615,0.000279922334892117,-1.50400559621639,-1.46866568912953,1
"S2","rep18","beta1",0.5,0.503878985139538,0.00387898513953799,1.50465257127566e-05,0.483643841227801,0.523572918356261,1
"S2","rep18","beta2",-0.4,-0.394057807997344,0.00594219200265561,3.53096457964243e-05,-0.412645754604375,-0.375200386157502,1
"S2","rep18","r_mean",15,15.4013063873785,0.401306387378472,0.16104681655076,13.8524477775975,17.0462042036501,1
"S2","rep18","phi_vector",NA,NA,-5.78241158658936e-17,0.000311523009391896,NA,NA,1
"S2","rep18","log_lambda_vector",NA,NA,-1.17652801081805e-17,0.00118193016550466,NA,NA,0.998888888888889
"S2","rep18","log_kappa_vector",NA,NA,0.0103692459072883,0.00722628293028021,NA,NA,0.967777777777778
