"scenario","rep","n_ppc_draws","observed_mean","yrep_mean","yrep_mean_diff","observed_zero_prop","yrep_zero_prop","yrep_zero_diff","observed_total","yrep_total","yrep_total_ratio","observed_max","yrep_max","ppc_cell_95_coverage","ppp_mean","ppp_zero","ppp_total","ppp_max","has_kappa_samples","drawwise_cor_logkappa_eta_mean","drawwise_abs_cor_logkappa_eta_mean","drawwise_slope_logkappa_eta_mean","postmean_cor_logkappa_eta","mu_cap","mu_cap_count","invalid_mu_count"
"S3","rep12",1000,228.074444444444,227.646447777778,-0.427996666666672,0,0,0,205267,204881.803,0.998123434356229,2292,2112.422,0.966666666666667,0.866,0,0.866,0.548,TRUE,-0.00770060273846769,0.0276194621580983,-0.00267299065495245,-0.00435883644926018,1e+08,0,0
"S3","rep13",1000,196.535555555556,196.347645555556,-0.187910000000016,0,0,0,176882,176712.881,0.999043888015739,3134,2868.395,0.971111111111111,0.928,0,0.928,0.628,TRUE,-0.00356989619875412,0.0270241111307843,-0.00115111631449456,8.27099498122242e-05,1e+08,0,0
"S3","rep14",1000,228.855555555556,229.302855555556,0.447300000000013,0,2.22222222222221e-06,2.22222222222221e-06,205970,206372.57,1.00195450793805,2862,2200.9,0.956666666666667,0.934,0,0.934,0.128,TRUE,0.0163275287320544,0.0287514283279034,0.0059724651890753,0.0216588688940256,1e+08,0,0
"S3","rep15",1000,216.956666666667,217.199688888889,0.243022222222208,0,1.11111111111111e-06,1.11111111111111e-06,195261,195479.72,1.00112014175898,1161,1412.578,0.965555555555556,0.964,0,0.964,0.222,TRUE,0.00578578165659983,0.0283958331240273,0.0020037684123966,0.00968519235564057,1e+08,0,0
"S3","rep16",1000,199.4,198.165133333333,-1.23486666666668,0,0,0,179460,178348.62,0.993807087930458,1821,1762.438,0.954444444444444,0.684,0,0.684,0.74,TRUE,0.00937952240535144,0.0259525388674865,0.00368968953926186,0.0143324948765545,1e+08,0,0
"S3","rep17",1000,173.68,173.16469,-0.51531,0,1.11111111111111e-06,1.11111111111111e-06,156312,155848.221,0.99703299170889,2092,1941.23,0.962222222222222,0.828,0,0.828,0.598,TRUE,0.00175309980744401,0.025792059516459,0.000711669402306837,0.00554405156655625,1e+08,0,0
"S3","rep18",1000,232.615555555556,233.411657777778,0.796102222222231,0,0,0,209354,210070.492,1.00342239460435,1671,1756.169,0.954444444444444,0.86,0,0.86,0.93,TRUE,-0.000658042021557356,0.0269893863866933,-6.62203142378307e-05,0.00361204144033118,1e+08,0,0
"S3","rep19",1000,122.27,123.038141111111,0.76814111111112,0,0,0,110043,110734.327,1.00628233508719,725,1057.948,0.964444444444444,0.68,0,0.68,0.004,TRUE,0.00142389144600593,0.0269847699150409,0.00063033149079457,0.0053878845840864,1e+08,0,0
"S3","rep20",1000,149.482222222222,149.65305,0.170827777777788,0,1.1111111111111e-06,1.1111111111111e-06,134534,134687.745,1.00114279661647,1309,1292.721,0.966666666666667,0.972,0,0.972,0.81,TRUE,-0.000831492603332963,0.0263853024985607,-0.000139189882176885,0.00326294898350319,1e+08,0,0
"S4A","rep01",1000,2.22555555555556,2.23760444444444,0.0120488888888888,0.358888888888889,0.372483333333333,0.0135944444444445,2003,2013.844,1.00541387918123,19,22.979,0.992222222222222,0.876,0.31,0.876,0.23,TRUE,0.0761950224450546,0.0973289123371264,0.0163744101654249,0.564236912646971,1e+08,0,0
"S4A","rep02",1000,3.13,3.15533777777778,0.0253377777777777,0.173333333333333,0.189201111111111,0.0158677777777778,2817,2839.804,1.00809513667022,30,32.736,0.994444444444444,0.824,0.218,0.824,0.752,TRUE,0.0018645993792754,0.030707030273367,0.00123117052717663,0.0175053419697282,1e+08,0,0
"S4A","rep03",1000,2.91111111111111,2.92964777777778,0.0185366666666669,0.175555555555556,0.192988888888889,0.0174333333333333,2620,2636.683,1.00636755725191,22,23.918,0.993333333333333,0.824,0.202,0.824,0.696,TRUE,0.00142310349006264,0.0297225705278319,0.00131636286106212,0.0190743408030955,1e+08,0,0
"S4A","rep04",1000,1.95777777777778,1.96226777777778,0.00448999999999988,0.312222222222222,0.324607777777778,0.0123855555555555,1762,1766.041,1.00229341657208,16,20.779,0.997777777777778,0.938,0.394,0.938,0.204,TRUE,0.0520341638497274,0.0711184125974486,0.0205163458399529,0.274732563609021,1e+08,0,0
"S4A","rep05",1000,4.36444444444444,4.37195333333333,0.00750888888888834,0.173333333333333,0.189115555555556,0.0157822222222222,3928,3934.758,1.00172046843177,61,57.411,0.993333333333333,0.956,0.22,0.956,0.69,TRUE,0.0303287325635972,0.0412804576906876,0.0111958413333574,0.089847699085713,1e+08,0,0
"S4A","rep06",1000,2.89333333333333,2.90472777777778,0.011394444444444,0.233333333333333,0.237787777777778,0.00445444444444443,2604,2614.255,1.00393817204301,35,28.805,0.996666666666667,0.928,0.732,0.928,0.354,TRUE,0.059069491111655,0.0777856980183377,0.0284748330764956,0.258216752866748,1e+08,0,0
"S4A","rep07",1000,2.97555555555556,2.99866,0.0231044444444444,0.308888888888889,0.327433333333333,0.0185444444444445,2678,2698.794,1.00776474981329,45,53.613,0.995555555555556,0.832,0.198,0.832,0.532,TRUE,0.0305382268166596,0.0414223182540175,0.0109242010468229,0.121784372332222,1e+08,0,0
"S4A","rep08",1000,2.62,2.64558666666667,0.0255866666666664,0.312222222222222,0.335113333333333,0.0228911111111111,2358,2381.028,1.00976590330789,47,49.689,0.995555555555556,0.796,0.0900000000000001,0.796,0.96,TRUE,0.0252340204146469,0.0486457549201313,0.00625789547338678,0.104807951996929,1e+08,0,0
"S4A","rep09",1000,2.86888888888889,2.89036,0.021471111111111,0.217777777777778,0.238665555555556,0.0208877777777778,2582,2601.324,1.00748412083656,25,28.282,0.994444444444444,0.862,0.156,0.862,0.462,TRUE,0.01459231480438,0.0327931887841078,0.00605743988400263,0.0584249303098089,1e+08,0,0
"S4A","rep10",1000,3.10777777777778,3.12649777777778,0.0187200000000001,0.223333333333333,0.232343333333333,0.00901000000000002,2797,2813.848,1.00602359671076,41,44.686,0.994444444444444,0.886,0.498,0.886,0.848,TRUE,-0.00873900953379911,0.0369399513591708,-0.00251617734693115,-0.00923801077999538,1e+08,0,0
