"draw","beta0_raw","beta1","beta2","lambda_min","lambda_median","lambda_max","log_lambda_mean","log_lambda_median","prop_at_lower","prop_at_upper","prop_nonfinite","beta0_plus_mean_log_lambda","beta0_plus_median_log_lambda","beta0_ident","lambda_ident_median","lambda_ident_max","lambda_ident_log_colmean_abs_mean"
82,-7.76188390592686,0.583175822471625,-0.414691703098541,5.37894499268484e-11,1.06191235096743,68609.6117487834,5.48943606620216e-17,0.060071210055703,0.0177777777777778,0,0,-7.76188390592686,-7.70181269587115,-7.76188390592686,1.06191235096743,68609.6117487834,9.27884312594706e-17
83,-7.75817302888525,0.566660365324779,-0.471747553572505,4.13967205864566e-10,1.04627944772433,213202.934591055,1.29340982368831e-16,0.0452404849371502,0,0,0,-7.75817302888525,-7.7129325439481,-7.75817302888525,1.04627944772433,213202.934591055,2.11859850650519e-16
84,-8.29107541081751,0.551807137812027,-0.391319131837275,6.12087416067883e-10,1.02592263223544,367340.631272137,3.35811625420648e-16,0.0255921647500908,0,0,0,-8.29107541081751,-8.26548324606742,-8.29107541081751,1.02592263223544,367340.631272136,4.05108045874335e-16
85,-7.7087123946456,0.524218220198101,-0.442472025041299,6.81236873749872e-11,1.04438076111029,35220.6868954164,1.45948068445515e-17,0.0434240544058012,0.0177777777777778,0,0,-7.7087123946456,-7.6652883402398,-7.7087123946456,1.04438076111029,35220.6868954164,9.42137957155648e-17
86,-7.6202650867682,0.553953694710766,-0.444521818279941,4.02350460792682e-10,1.03668226722067,66117.0637278216,1.48276452844382e-16,0.0360254847587049,0,0,0,-7.6202650867682,-7.5842396020095,-7.6202650867682,1.03668226722067,66117.0637278215,1.49417515397469e-16
87,-7.64224218762113,0.501678500311547,-0.402288020889804,1.89128345482409e-10,1.03546314785509,25272.9156145392,2.8302977245826e-16,0.0348487922595993,0,0,0,-7.64224218762113,-7.60739339536153,-7.64224218762113,1.03546314785509,25272.9156145391,7.53294032090284e-17
88,-8.01270411960311,0.530075919787559,-0.388231771631565,4.41821417519613e-11,1.05050230555061,1153387.39480811,2.55320456135324e-16,0.0492684137651215,0.0244444444444444,0,0,-8.01270411960311,-7.96343570583799,-8.01270411960311,1.05050230555061,1153387.39480811,2.80578029945546e-16
89,-7.49009385364513,0.544006960838287,-0.369227262167802,4.51963697262373e-11,1.03677855252973,4475.31295220633,2.31604858748192e-17,0.0361183460753475,0.0177777777777778,0,0,-7.49009385364513,-7.45397550756978,-7.49009385364513,1.03677855252973,4475.31295220633,8.03832309357075e-17
90,-7.4734149084352,0.517353170084025,-0.355997182345556,3.81047180784307e-11,1.06343452734793,107148.9334186,3.76427284404852e-16,0.0615037888294913,0.0222222222222222,0,0,-7.4734149084352,-7.41191111960571,-7.4734149084352,1.06343452734793,107148.9334186,3.37076046087582e-17
91,-7.60483068949326,0.55895258993697,-0.331319161386937,1.09274448240446e-10,1.04813407924125,12251.3520478183,1.97743056497125e-16,0.047011470785008,0,0,0,-7.60483068949326,-7.55781921870826,-7.60483068949326,1.04813407924125,12251.3520478183,1.02788148363212e-16
92,-7.98061238764098,0.560823024663199,-0.367772992682339,6.33693971065426e-11,1.00646742731878,1288972.99899459,6.62163225485636e-17,0.00644659806236186,0.0233333333333333,0,0,-7.98061238764098,-7.97416578957862,-7.98061238764098,1.00646742731878,1288972.99899459,9.8224861886129e-17
93,-7.92891044111212,0.558444938495249,-0.371923500131952,1.11640454565805e-10,1.02546083481225,295789.671161209,-2.35367281220533e-16,0.0251421064451072,0,0,0,-7.92891044111212,-7.90376833466701,-7.92891044111212,1.02546083481225,295789.671161209,2.73080169588269e-16
94,-7.6896407278749,0.534815341668545,-0.4359379787931,4.09996475422284e-11,1.03098516545218,18605.8214521431,2.28212510617393e-17,0.0305145622236132,0.00222222222222222,0,0,-7.6896407278749,-7.65912616565129,-7.6896407278749,1.03098516545218,18605.8214521431,5.07001847912155e-17
95,-7.47528118873173,0.50642527967754,-0.478005038264582,2.77442880169602e-10,1.03244706810792,31001.139875327,-5.21188031004587e-17,0.031931747627555,0,0,0,-7.47528118873173,-7.44334944110418,-7.47528118873173,1.03244706810792,31001.139875327,4.19571784722924e-17
