"draw","beta0_raw","beta1","beta2","lambda_min","lambda_median","lambda_max","log_lambda_mean","log_lambda_median","prop_at_lower","prop_at_upper","prop_nonfinite","beta0_plus_mean_log_lambda","beta0_plus_median_log_lambda","beta0_ident","lambda_ident_median","lambda_ident_max","lambda_ident_log_colmean_abs_mean"
34,-7.66406680050429,0.521415775834581,-0.447446163837858,2.93722874740936e-12,1.04730495008585,78680.3051951643,1.37050864484283e-16,0.0462200355251004,0.0188888888888889,0,0,-7.66406680050429,-7.61784676497919,-7.66406680050429,1.04730495008585,78680.3051951643,1.60404097411989e-16
35,-7.73013509241114,0.495492770598042,-0.431603677774215,1.69262724593575e-09,1.04565650875353,246463.923182599,1.20089123830288e-16,0.0446447814675893,0,0,0,-7.73013509241114,-7.68549031094355,-7.73013509241114,1.04565650875353,246463.923182599,1.70010610527843e-16
36,-7.66029650232667,0.500550092843486,-0.350943979134827,7.15640474758919e-11,1.04092590460647,54196.5111888467,8.37601593022757e-17,0.0401103846528905,0.0233333333333333,0,0,-7.66029650232667,-7.62018611767378,-7.66029650232667,1.04092590460647,54196.5111888466,1.07082552701519e-16
37,-7.93508759665333,0.544160144886587,-0.343585989771317,9.67115164678461e-11,1.0520938243544,183451.651385506,3.01055476844188e-16,0.0507822692514537,0.0244444444444444,0,0,-7.93508759665333,-7.88430532740188,-7.93508759665333,1.0520938243544,183451.651385505,2.0472049981161e-16
38,-8.07575867350752,0.471911344099447,-0.359755177784837,6.29970653432347e-11,1.03094596492479,224962.102353093,2.78388423424758e-16,0.0304767929500194,0.0233333333333333,0,0,-8.07575867350752,-8.0452818805575,-8.07575867350752,1.03094596492479,224962.102353093,9.60959706869997e-17
39,-8.57845533374861,0.511489897315267,-0.385741896154882,6.3623128055237e-10,1.03075984604353,5567279.06500782,2.03294171620251e-16,0.0302962446865168,0,0,0,-8.57845533374861,-8.5481590890621,-8.57845533374861,1.03075984604353,5567279.06500781,1.38731618785452e-16
40,-7.88163255514384,0.568841592680918,-0.450035776040067,3.97287477364129e-12,1.03973937539982,151115.791816574,3.80868176503352e-16,0.0389700409530048,0.0211111111111111,0,0,-7.88163255514384,-7.84266251419083,-7.88163255514384,1.03973937539982,151115.791816573,1.25177646026486e-16
41,-7.79461298191861,0.567434155056182,-0.418843265739304,6.21497519368538e-11,1.03222327224481,214628.295756402,1.06211336022473e-16,0.0317149925445203,0.0255555555555556,0,0,-7.79461298191861,-7.76289798937409,-7.79461298191861,1.03222327224481,214628.295756402,8.2094824765338e-17
42,-7.68511544486869,0.542476741099148,-0.399673912211809,3.28302740484418e-11,1.06058994318723,109669.88897607,1.40196496387388e-16,0.0588248181441563,0.0244444444444444,0,0,-7.68511544486869,-7.62629062672453,-7.68511544486869,1.06058994318723,109669.888976069,6.64900233636622e-17
43,-7.96169212137643,0.563132075275204,-0.437384470402129,1.1780761256579e-10,1.01412208950886,199634.913438898,2.38605431709023e-16,0.0140232585686129,0,0,0,-7.96169212137643,-7.94766886280781,-7.96169212137643,1.01412208950886,199634.913438897,2.63616289291551e-16
