"parameter","truth","mean","bias","rmse","coverage95","ess","ess_per_sec","rhat","scenario","rep","sampler"
"r_mean",15,15.3890668070053,0.389066807005269,0.915169332427223,1,1157.21151284348,2.93380872336343,NA,"S2","rep18","old_kappa_conditioned"
"beta0",-1.6457324988502,-1.65416223771341,-0.0084297388632093,0.0127571371414931,1,474.286689399783,1.1954777997343,NA,"S2","rep19","old_kappa_conditioned"
"beta1",0.5,0.506833883702715,0.00683388370271543,0.0117578343792186,1,117.384655642307,0.295877478719516,NA,"S2","rep19","old_kappa_conditioned"
"beta2",-0.4,-0.412810469526446,-0.0128104695264464,0.0159708715967411,1,113.649730432239,0.286463298916252,NA,"S2","rep19","old_kappa_conditioned"
"r_mean",15,15.2909186200329,0.290918620032857,0.9252101035791,1,1081.23975271021,2.72535187987471,NA,"S2","rep19","old_kappa_conditioned"
"beta0",-1.39437501026065,-1.40291454456828,-0.00853953430763266,0.0125388278995726,1,493.473081275062,1.25935786159093,NA,"S2","rep20","old_kappa_conditioned"
"beta1",0.5,0.516100278610098,0.0161002786100978,0.0189910556230228,1,81.917294507221,0.209055352262315,NA,"S2","rep20","old_kappa_conditioned"
"beta2",-0.4,-0.412151522050736,-0.0121515220507356,0.0161335290368533,1,68.0145034440895,0.173575019316552,NA,"S2","rep20","old_kappa_conditioned"
"r_mean",15,14.790283976956,-0.209716023044006,0.912686909427941,1,1105.74273400477,2.82188807820655,NA,"S2","rep20","old_kappa_conditioned"
"beta0",-1.55101809603453,-1.55430449328552,-0.00328639725099156,0.0100901825165131,1,480.426785358163,1.04879503434623,NA,"S3","rep01","old_kappa_conditioned"
"beta1",0.5,0.487500778264744,-0.0124992217352563,0.0161818960525783,1,77.0132814137524,0.168123738282487,NA,"S3","rep01","old_kappa_conditioned"
"beta2",-0.4,-0.397945075414039,0.00205492458596063,0.00912651860597176,1,83.289193485818,0.181824359517144,NA,"S3","rep01","old_kappa_conditioned"
"r_mean",15,15.3359904245549,0.335990424554904,0.946507321014562,1,907.102757768259,1.98024943026412,NA,"S3","rep01","old_kappa_conditioned"
"beta0",-1.52214568450129,-1.52550044040465,-0.00335475590336487,0.00934532554529187,1,274.120791646821,0.597134996834451,NA,"S3","rep02","old_kappa_conditioned"
