"parameter","truth","mean","bias","rmse","coverage95","ess","ess_per_sec","rhat","scenario","rep","sampler"
"beta2",-0.4,-0.391420394968259,0.00857960503174082,0.0131702732030753,1,1691.23037165752,7.55826747375724,NA,"S2","rep07","revised_kappa_collapsed"
"r_mean",15,14.7623794696505,-0.237620530349529,0.868234681598728,1,2485.13375121904,11.1062962885218,NA,"S2","rep07","revised_kappa_collapsed"
"beta0",-1.5147890397372,-1.51269079895861,0.00209824077859433,0.00968176814353033,1,3665.64878917469,16.3964179795077,NA,"S2","rep08","revised_kappa_collapsed"
"beta1",0.5,0.516525047797177,0.0165250477971768,0.0194814396595685,1,1394.44147516131,6.23732566584858,NA,"S2","rep08","revised_kappa_collapsed"
"beta2",-0.4,-0.396211149699392,0.00378885030060844,0.0105746143211725,1,1710.57265045685,7.65137790724343,NA,"S2","rep08","revised_kappa_collapsed"
"r_mean",15,15.1429139411957,0.142913941195708,0.848831791049736,1,2822.32339725428,12.6242301857686,NA,"S2","rep08","revised_kappa_collapsed"
"beta0",-1.65564478525192,-1.65687241351102,-0.00122762825910039,0.00968933844461446,1,3515.12358668426,15.9064002872822,NA,"S2","rep09","revised_kappa_collapsed"
"beta1",0.5,0.489144169440569,-0.010855830559431,0.0149391255565374,1,1705.86443676025,7.71926275074236,NA,"S2","rep09","revised_kappa_collapsed"
"beta2",-0.4,-0.403437826588362,-0.00343782658836211,0.0104443092402383,1,1882.17717317734,8.51710125969841,NA,"S2","rep09","revised_kappa_collapsed"
"r_mean",15,14.7886348621894,-0.211365137810622,0.887523631258384,1,2723.04761593691,12.3221515011593,NA,"S2","rep09","revised_kappa_collapsed"
"beta0",-1.67500995209964,-1.66722538748091,0.00778456461872734,0.0121380108430226,1,3332.50530025619,14.2975660936942,NA,"S2","rep10","revised_kappa_collapsed"
"beta1",0.5,0.530522543542839,0.0305225435428392,0.0323484580013432,0,1254.4712185068,5.38210251544363,NA,"S2","rep10","revised_kappa_collapsed"
"beta2",-0.4,-0.393592343314443,0.00640765668555676,0.0115774963717277,1,1605.2643221715,6.88712265283775,NA,"S2","rep10","revised_kappa_collapsed"
"r_mean",15,15.0105614340464,0.0105614340464193,0.850977758572068,1,2949.13731551214,12.652788784664,NA,"S2","rep10","revised_kappa_collapsed"
"beta0",-1.46082883975833,-1.47107953507081,-0.0102506953124797,0.0136612052182745,1,3580.35770846094,2.3707210168335,NA,"S2","rep11","revised_kappa_collapsed"
"beta1",0.5,0.491256824906546,-0.00874317509345446,0.0134115561558834,1,1728.18746098546,1.14431312969215,NA,"S2","rep11","revised_kappa_collapsed"
"beta2",-0.4,-0.401030821523697,-0.00103082152369699,0.00972001570226713,1,1783.86337788118,1.18117873840053,NA,"S2","rep11","revised_kappa_collapsed"
"r_mean",15,16.4284684355267,1.42846843552672,1.68754777814859,1,2578.30346399531,1.70721439241214,NA,"S2","rep11","revised_kappa_collapsed"
"beta0",-1.54000554509491,-1.53127490060454,0.00873064449036409,0.0126392424713764,1,3919.36991702933,11.4366373128692,NA,"S2","rep12","revised_kappa_collapsed"
"beta1",0.5,0.492244001212835,-0.0077559987871651,0.0127605069551417,1,1363.25836690745,3.97795866073089,NA,"S2","rep12","revised_kappa_collapsed"
"beta2",-0.4,-0.408218853616115,-0.00821885361611463,0.0126330211376794,1,1524.90152023826,4.44962991348016,NA,"S2","rep12","revised_kappa_collapsed"
"r_mean",15,15.4455923355908,0.445592335590842,0.925180084175509,1,2718.57720127015,7.93274993586913,NA,"S2","rep12","revised_kappa_collapsed"
"beta0",-1.45678056652174,-1.45306336028288,0.00371720623886329,0.0100354890636392,1,3959.78770484659,7.83449281769764,NA,"S2","rep13","revised_kappa_collapsed"
