"file","readable","ncol","columns"
"analysis_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100/tables/scenario4b_exposure_group_recovery_by_rep.csv",TRUE,16,"scenario_id | rep_id | exposure_group | n_areas | mean_multiplier | mean_count | zero_prop | lambda_rmse | log_lambda_rmse | cor_log_lambda | phi_rmse | phi_mae | phi_cor | fit_status | nonfailed | stable_fit"
"analysis_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100/tables/scenario4b_exposure_group_recovery_by_subset.csv",TRUE,11,"subset | exposure_group | n_reps | mean_count_avg | zero_prop_avg | lambda_rmse_avg | log_lambda_rmse_avg | cor_log_lambda_avg | phi_rmse_avg | phi_mae_avg | phi_cor_avg"
"analysis_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100/tables/scenario4b_fit_status_by_rep.csv",TRUE,30,"scenario_id | rep_id | fit_status | nonfailed | stable_fit | mean_count | zero_prop | exposure_mean_ratio | exposure_cv | count_low_exposure_mean_count | count_low_exposure_zero_prop | count_high_exposure_mean_count | count_high_exposure_zero_prop | beta0_mean | beta1_mean | beta2_mean | r_mean | phi_rmse | phi_cor | lambda_rmse | log_lambda_rmse | cor_log_lambda | lambda_low_exposure_log_lambda_rmse | lambda_high_exposure_log_lambda_rmse | phi_low_exposure_phi_rmse | phi_high_exposure_phi_rmse | s4b_beta_guard_count | s4b_kappa_guard_count | s4b_lambda_input_guard_count | s4b_lambda_output_guard_count"
"analysis_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100/tables/scenario4b_fit_status_counts.csv",TRUE,3,"fit_status | n_reps | prop_reps"
"analysis_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100/tables/scenario4b_guard_summary_by_subset.csv",TRUE,5,"subset | n_reps | beta_guard_total | kappa_guard_total | lambda_output_guard_total"
"analysis_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100/tables/scenario4b_low_high_exposure_contrast_by_rep.csv",TRUE,16,"rep_id | fit_status | nonfailed | stable_fit | mean_count | zero_prop | low_mean_count | high_mean_count | low_zero_prop | high_zero_prop | low_log_lambda_rmse | high_log_lambda_rmse | low_minus_high_log_lambda_rmse | low_phi_rmse | high_phi_rmse | low_minus_high_phi_rmse"
"analysis_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100/tables/scenario4b_low_high_exposure_contrast_by_subset.csv",TRUE,12,"subset | n_reps | low_mean_count_avg | high_mean_count_avg | low_zero_prop_avg | high_zero_prop_avg | low_log_lambda_rmse_avg | high_log_lambda_rmse_avg | low_minus_high_log_lambda_rmse_avg | low_phi_rmse_avg | high_phi_rmse_avg | low_minus_high_phi_rmse_avg"
"analysis_s4b_low_exposure_continuous_x2/S4B_LOW_HETEROGENEOUS_EXPOSURE_FIXED_GAMMA_CONTINUOUS_X2_T100/tables/scenario4b_performance_by_subset.csv",TRUE,32,"subset | n_reps | mean_count_avg | zero_prop_avg | exposure_mean_ratio_avg | exposure_cv_avg | low_exp_mean_count_avg | high_exp_mean_count_avg | low_exp_zero_prop_avg | high_exp_zero_prop_avg | beta1_mean_avg | beta1_mean_sd | beta2_mean_avg | beta2_mean_sd | beta0_coverage | beta1_coverage | beta2_coverage | r_mean_avg | phi_rmse_avg | phi_cor_avg | lambda_rmse_avg | log_lambda_rmse_avg | cor_log_lambda_avg | low_exp_log_lambda_rmse_avg | high_exp_log_lambda_rmse_avg | low_minus_high_log_lambda_rmse_avg | low_exp_phi_rmse_avg | high_exp_phi_rmse_avg | low_minus_high_phi_rmse_avg | beta_guard_total | kappa_guard_total | lambda_output_guard_total"
"analysis_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100/tables/kappa_recovery_by_subset_continuous_x2.csv",TRUE,10,"subset | n_reps | kappa_truth_cv_avg | reference_kappa_cv_avg | kappa_cv_increase_avg | kappa_post_mean_cv_avg | kappa_cv_bias_avg | kappa_rmse_avg | log_kappa_rmse_avg | cor_log_kappa_avg"
"analysis_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100/tables/numerical_guard_summary_by_subset_continuous_x2.csv",TRUE,6,"subset | n_reps | beta_guard_total | kappa_guard_total | lambda_input_guard_total | lambda_output_guard_total"
"analysis_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100/tables/posterior_beta_aggregate_continuous_x2.csv",TRUE,12,"subset | parameter | n_reps | mean_truth | mean_post_mean | sd_post_mean_across_reps | mean_bias | median_bias | rmse_bias | mean_abs_bias | coverage | mean_post_sd"
"analysis_s4c_overdispersion_continuous_x2/S4C_STRONG_OVERDISPERSION_FIXED_GAMMA_CONTINUOUS_X2_T100/tables/posterior_beta_summary_continuous_x2.csv",TRUE,14,"scenario_id | rep_id | parameter | truth | post_mean | post_sd | q025 | q50 | q975 | bias | covered | fit_status | nonfailed | stable_fit"
