"scenario","rep","status","finite_status","lambda_mode","gamma_mode","gamma_fixed","n_iter","n_burnin","n_thin","n_stored","beta_dim","beta0_mean","beta1_mean","beta2_mean","loglik_last","lambda_max","kappa_max","r_accept_mean","gamma_accept_mean","delta_accept_rate","elapsed_sec","fit_file","error","baseline_analysis_status"
"S4A","rep05","nonfinite_output","omega_nonfinite_21573","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-5.81767232619123,0.524216411485791,-0.374546202563591,-1610.74584041821,6.349926705601,6.96458741815305,0.321644444444444,NA,0.8898,390.762663125992,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4A_rep05_full_fit.rds","","analysis_ok_with_omega_warning"
"S4A","rep06","nonfinite_output","omega_nonfinite_32139","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-5.9970591114426,0.483361598670918,-0.381895939395244,-1474.23515700973,20.1293946773302,11.5602505754533,0.323033333333333,NA,0.891,391.396189928055,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4A_rep06_full_fit.rds","","analysis_ok_with_omega_warning"
"S4A","rep07","nonfinite_output","omega_nonfinite_61047","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-5.98336903662757,0.506531708951713,-0.379374958277874,-1371.31407946997,10.5295338013694,7.26953325777503,0.321377777777778,NA,0.90435,390.990426063538,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4A_rep07_full_fit.rds","","analysis_ok_with_omega_warning"
"S4A","rep08","nonfinite_output","omega_nonfinite_22323","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-6.45783825309872,0.491269733347298,-0.424341633602063,-1302.25109837056,97538.3228493878,10.7748859841055,0.3218,NA,0.8899,391.215204954147,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4A_rep08_full_fit.rds","","analysis_ok_with_omega_warning"
"S4A","rep09","nonfinite_output","omega_nonfinite_62853","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-5.88317190824722,0.547874567744685,-0.398771438913876,-1469.21738243471,7.98642202095393,5.62258576959834,0.321433333333333,NA,0.911,389.957822084427,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4A_rep09_full_fit.rds","","analysis_ok_with_omega_warning"
"S4A","rep10","nonfinite_output","omega_nonfinite_43431","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-5.97522920231907,0.480467795272103,-0.41540079222704,-1482.26161066687,131.64854278538,5.48416838273159,0.319227777777778,NA,0.8861,390.581655025482,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4A_rep10_full_fit.rds","","analysis_ok_with_omega_warning"
"S4B","rep01","nonfinite_output","omega_nonfinite_73311","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-2.29643025497195,0.511921750154488,-0.402636837041857,-1737.25747207375,169.970756612529,28.274170097908,0.321711111111111,NA,0.8785,402.57878780365,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4B_rep01_full_fit.rds","","analysis_ok_with_omega_warning"
"S4B","rep02","nonfinite_output","omega_nonfinite_35712","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.39668970765303,0.483273356397851,-0.385875740248012,-2052.99659966612,6.61980120436689,4.78614544285774,0.321405555555556,NA,0.89385,396.459762096405,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4B_rep02_full_fit.rds","","analysis_ok_with_omega_warning"
"S4B","rep03","nonfinite_output","omega_nonfinite_10968","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.51626421364765,0.511233144211636,-0.414976331730256,-1857.48294844679,6.70449939898202,5.96363882069903,0.322616666666667,NA,0.90355,395.583056926727,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4B_rep03_full_fit.rds","","analysis_ok_with_omega_warning"
"S4B","rep04","nonfinite_output","omega_nonfinite_9237","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-2.01923797004962,0.487324738587604,-0.404616757901102,-1781.0582790541,16.8893806174677,7.96494996740943,0.324194444444444,NA,0.86805,400.628632068634,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4B_rep04_full_fit.rds","","analysis_ok_with_omega_warning"
"S4B","rep05","nonfinite_output","omega_nonfinite_167142","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.66367272405181,0.517483130785877,-0.385833936736929,-1971.26154840518,14.5877667643352,7.66983226680901,0.322744444444444,NA,0.9053,400.668690919876,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4B_rep05_full_fit.rds","","analysis_ok_with_omega_warning"
"S4B","rep06","nonfinite_output","omega_nonfinite_111090","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.62418284531292,0.469438219256676,-0.368770950602436,-2008.38227481205,6.24013656511872,5.09195188892435,0.322444444444444,NA,0.90405,397.083492040634,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4B_rep06_full_fit.rds","","analysis_ok_with_omega_warning"
"S4B","rep07","nonfinite_output","omega_nonfinite_1137","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.69600408698622,0.494329382602696,-0.408262480309211,-1837.60340544248,7.13228231136975,5.75258571245642,0.319627777777778,NA,0.8679,398.142379999161,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4B_rep07_full_fit.rds","","analysis_ok_with_omega_warning"
"S4B","rep08","nonfinite_output","omega_nonfinite_24075","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.80215214289616,0.510129747912165,-0.406232280148715,-1758.81456211016,9.59908819587725,6.10919771624322,0.321427777777778,NA,0.90175,400.279008150101,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4B_rep08_full_fit.rds","","analysis_ok_with_omega_warning"
"S4B","rep09","nonfinite_output","omega_nonfinite_8766","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.67024291552609,0.50191027905913,-0.405396164505109,-1881.56087172287,8.91554360326152,4.126331561231,0.324555555555556,NA,0.8958,394.418287992477,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4B_rep09_full_fit.rds","","analysis_ok_with_omega_warning"
"S4B","rep10","nonfinite_output","omega_nonfinite_219","dynamic","fixed",0.8,20000,10000,5,2000,"2000 x 2",-1.62463384822121,0.519228282672209,-0.415882525380025,-1978.04177201345,4.07639852848444,3.39271287202885,0.322877777777778,NA,0.85975,398.050230979919,"analysis_collab_diagnostics/old_sampler_full_fits/old_aligned_S4B_rep10_full_fit.rds","","analysis_ok_with_omega_warning"
